id,labels,popularity,name,username
1HY2Jd0NmPuamShAr6KMms,Artist,93.0,,
6WJcRNkvprk9oyJuiLHT5H,Release,,,
3yQQUyIA3vRIRnB4rqtThe,Release,,,
50Ud74XX8wnH2RK0n6j5np,Release,,,
0SrskI3mHcu5MzKeZNv2f6,Release,,,
6p01JdkB7ry8iAf4IuC1Lv,Release,,,
30Ni9qg2MBeeZXybsMOQ7m,Release,,,
42UJjk8i8L0De7lQtu7sqi,Release,,,
2pLAOZiilrhOrTQNqrF8qr,Release,,,
3oRJOBqBr4bnHqRDw1uEIP,Release,,,
1J7OJuxxZ0qqLnzAFFregQ,Release,,,
5KIGFE6IFlVQPA4Vsl15nV,Release,,,
5cj0lLjcoR7YOSnhnX0Po5,Artist,87.0,,
5ho4S2bnJJdF0uwT8YiQsw,Release,,,
6DmPNcfpkXBVRJsEIJY9tl,Release,,,
4XLPYMERZZaBzkJg0mkdvO,Release,,,
1nAQbHeOWTfQzbOoFrvndW,Release,,,
1MmVkhiwTH0BkNOU3nw5d3,Release,,,
3wOMqxNHgkga91RBC7BaZU,Release,,,
220,Genre,,art pop,
54tInqO543zy0Y5F2VsUQI,Release,,,
33qOK5uJ8AR2xuQQAhHump,Artist,88.0,,
6LF3BvWhKsiGgiG1yymOZT,Release,,,
6kvSdLjli85tMwW4jlCN0o,Release,,,
3egFmnuKrjoMAlqCfdw7KH,Release,,,
7nacKlk586eLRBSIsrk9DB,Release,,,
6LuN9FCkKOj5PcnpouEgny,Artist,85.0,,
5MsuDSyzQYhuL1U3mzgFKw,Release,,,
0Tu7Vpu49X7oduL2AVbKZq,Release,,,
5HBwLKK7l3N8fovxDlTBpE,Release,,,
6KT8x5oqZJl9CcnM66hddo,Release,,,
4UNwL1B7JoymNUiTFJa52B,Release,,,
6kf46HbnYCZzP6rjvQHYzg,Release,,,
2wY79sveU1sp5g7SokKOiI,Artist,84.0,,
4yt0AbQTawerUK0dHZbsJT,Release,,,
16HVR99NpuRONFToq3hEET,Release,,,
0WKmUvgdRRgKC7PuTvnO4d,Release,,,
238,Genre,,pop,
5BNUgsVK7qqfFnV046qHfW,Release,,,
3Uq1jNGnD412ZvCb6j2DKV,Release,,,
77jibxIYj4UGL2QAaN4j37,Release,,,
5XCBX16KNYsAe7V5hQV9mC,Release,,,
3TJz2UBNYJtlEly0sPeNrQ,Release,,,
3y4eXWur67Kae82MkTynXp,Release,,,
0f8RtEC5UUqMX2cveYlylg,Release,,,
2MHUaRi9OCyTN02SoyRRBJ,Release,,,
5PZWGWwRwA0PJCET9BwBAm,Release,,,
08jWgM4vSkTose4blKBWov,Release,,,
5QVtA5nAI18IVW6NenERTO,Release,,,
55Aa2cqylxrFIXC767Z865,Artist,90.0,,
0QxgFnhDjSnZNaaHUZ5kW7,Release,,,
3f35htoN6xM1w2fKE8YZIJ,Release,,,
5M07HCuwYANod8eLdDvMwy,Release,,,
6eKdAMXNBlXNtPy7OdBL50,Release,,,
7aWNHIpUIFnlu2UhOWqooG,Release,,,
0Nur9t7M0miEBoAnQ3rPv2,Release,,,
6MVsBi4m5eAzfjb6C3JKwp,Release,,,
4ljsev5vUnwB2BUFAMvwwy,Release,,,
15rah8uTv13tEhScI9Nv8z,Release,,,
49zB39sak50ghwZMwHQqQ0,Release,,,
2x657XotA7LCsPElXmXX4W,Release,,,
4hxmBjxENo2VDMShZRp3fW,Release,,,
3OevODyllQCrhudfLLnV3y,Release,,,
50yFYgKdwJANZ5O9MIbMkg,Release,,,
2wVTLpA19kpk5qmkTASir0,Release,,,
2EZ3h6cM5eC65qSHCghdIZ,Release,,,
6Pqlfg42Sc3ElNuyt5NUiK,Release,,,
0pFydyko4Iw450abXlDPpp,Release,,,
2YL3ddwHuiBGumvzcGHyjT,Release,,,
